날짜,지점,최저기온(℃),최고기온(℃)
2020-06-07,159,17.8,24.6
2020-06-08,159,18,28
2020-06-09,159,18.6,29.4
2020-06-10,159,20.9,28.9
2020-06-11,159,21.3,25.9
2020-06-12,159,21.1,25.8
2020-06-13,159,21,24.2
2020-06-14,159,20.2,27
2020-06-15,159,20.3,29
2020-06-16,159,21.4,29
2020-06-17,159,19.7,26.2
2020-06-18,159,16.8,21.2
2020-06-19,159,18.3,27.1
2020-06-20,159,19,24.9
2020-06-21,159,18,25.3
2020-06-22,159,18,27.7
2020-06-23,159,19.9,29
2020-06-24,159,20.5,26.2
2020-06-25,159,20.9,24.6
2020-06-26,159,20.3,28.2
2020-06-27,159,20.2,27.9
2020-06-28,159,21.7,30.7
2020-06-29,159,18.9,25.2
2020-06-30,159,19.9,24.7
2020-07-01,159,19.1,24.3
2020-07-02,159,19,25.8
2020-07-03,159,18.7,22.1
2020-07-04,159,18.7,25.4
2020-07-05,159,19.1,25.9
2020-07-06,159,21.2,25.6
