북한,북한,북한,북한,남한,남한,남한
사과,배,복숭아,기타 과일 신선한,사과,배,복숭아
660000,129959,115000,480000,403583,417160,166275
657482,133000,122000,483379,433165,386348,187542
650000,132253,118870,485000,365354,316568,189413
665000,134000,119072,491215,357180,451861,200534
668000,135000,124000,490000,367517,443265,223701
665000,130000,120000,500346,407621,431464,193816
635000,125000,118745,508430,435686,467426,184497
657518,130140,118724,514584,470865,470745,189064
687808,134480,118564,527996,494491,418368,134939
712312,137971,118340,530287,460285,307820,134665
752300,143000,116000,548000,379541,290494,127756
785000,147000,118500,535000,394596,172599,134916
780000,145000,118000,535000,493701,282212,127398
778289,144078,119854,541355,474712,302731,133124
783970,146112,120819,548077,582846,260975,153882
796201,147377,120442,552694,576369,238014,207539
804632,148351,120725,556577,545349,265757,222284
813064,149326,120985,560459,475303,203166,206889
